Date,low_beta_new,momentum_new,quality_new,Equity Momentum,Equity Low Beta,Equity Quality,Commodity Carry,Commodity Curve,Credit Curve,Credit Carry,FX Carry,FX Value,Interest Rate Spread,Interest Rate Curve,Equity Trend,FX Trend,Commodity Trend,Interest Rate Trend,Commodity Volatility Carry,Interest Rate Volatility Carry,Equity Volatility Carry,COT,Merger Arb
17/03/2014,92.45,91.28,81.51,101.3,93.19,105.37,315.4554,225.887,102.8406,102.6203,262.4948,130.5721,106.7177,129.9969,104.5517,234.7163,215.1366,199.8303,307.736,146.1654,102.05,129.2775,1090.487093
18/03/2014,92.37,91.41,81.63,101.33,93.07,105.3,314.3356,225.8018,102.9007,102.6954,262.9691,130.5739,106.7192,130.0707,104.9803,234.5058,214.9737,199.8995,307.7523,146.6591,102.27,129.2414,1090.766004
19/03/2014,92.19,91.37,81.54,101.47,92.99,105.27,313.1906,226.1231,102.9013,102.7989,264.1434,130.6288,106.6707,129.5511,104.9214,235.0764,214.0965,199.337,307.9741,145.291,102.55,129.2639,1090.523747
20/03/2014,91.93,91.24,81.37,101.34,92.79,105.18,315.2249,226.179,102.9514,103.233,265.4578,130.7984,106.6063,129.3412,105.0302,234.6754,213.9415,198.6275,308.4255,145.7858,102.68,129.3335,1090.838182
21/03/2014,92.08,90.57,81.24,100.97,92.82,105.13,315.6409,226.1983,102.8856,103.0446,266.0248,131.0852,106.611,129.0902,104.9013,233.9016,213.4154,198.5061,309.1021,146.275,102.84,129.4847,1088.424909
24/03/2014,92.42,90.05,81.05,100.84,92.85,105.18,314.4056,226.9561,102.8227,102.9052,266.53,131.249,106.6039,128.8171,104.3087,233.7269,213.3965,198.6755,309.4913,146.3367,102.92,129.4891,1089.382959
25/03/2014,92.34,89.85,81.08,100.67,92.8,105.05,315.8921,226.6645,102.7774,103.0984,267.2874,131.5522,106.6033,128.9464,104.7456,232.6319,213.1054,198.9213,309.7765,146.416,102.95,129.7578,1089.019655
26/03/2014,92.64,89.54,81.06,100.48,92.87,104.94,315.6806,226.7355,102.7531,103.1764,268.9921,131.7402,106.6186,129.0365,104.7308,231.1483,214.425,199.2226,309.9596,146.3987,102.88,129.7938,1088.079127
27/03/2014,92.87,89.29,81.1,100.21,93.02,104.9,315.5754,226.7634,102.8006,103.2458,269.6677,132.0931,106.6018,128.7942,104.6043,230.4891,214.4862,199.3398,309.2289,146.1966,103.05,129.8217,1087.806873
28/03/2014,92.9,89.09,81.13,100.14,93.09,104.88,314.6929,226.7315,102.8122,103.4629,270.0314,132.0927,106.5852,128.8397,104.8996,230.8398,214.5788,198.9475,309.5512,146.199,102.99,129.7581,1088.354063
31/03/2014,92.91,89.37,81.13,100.3,93.08,104.75,314.3036,226.8927,102.8194,103.3923,270.3911,132.0816,106.61,128.9801,105.0966,230.1033,213.5351,199.0549,311.4089,146.2864,103.1,129.8264,1089.029619
01/04/2014,92.15,89.9,81.35,100.6,92.77,104.96,313.7218,227.2493,102.8615,103.3135,270.9102,132.1416,106.6096,129.0721,105.3878,230.3522,213.3711,199.0542,311.6534,146.3549,103.14,129.9264,1089.9074
